TI=0.05 | U_mean=8.00 | Ct_used=0.81 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_8_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 8.30 0.00 0.00 0.00 0.00
0.01 8.31 0.00 0.00 0.07 0.00
0.02 8.32 0.00 0.00 0.14 0.00
0.03 8.33 0.00 0.00 0.21 0.00
0.04 8.34 0.01 0.00 0.28 0.00
0.05 8.35 0.01 0.00 0.35 0.00
0.06 8.36 0.01 0.00 0.41 0.00
0.07 8.37 0.02 0.00 0.48 0.00
0.08 8.38 0.02 0.00 0.55 0.00
0.09 8.39 0.03 0.00 0.62 0.00
0.10 8.40 0.03 0.00 0.68 0.00
0.11 8.42 0.04 0.00 0.75 0.00
0.12 8.44 0.05 0.00 0.81 0.00
0.13 8.46 0.06 0.00 0.88 0.00
0.14 8.48 0.07 0.00 0.94 0.00
0.15 8.50 0.08 0.00 1.00 0.01
0.16 8.51 0.09 0.00 1.06 0.01
0.17 8.53 0.10 0.00 1.12 0.01
0.18 8.53 0.11 0.00 1.18 0.01
0.19 8.53 0.12 0.00 1.24 0.01
0.20 8.53 0.13 0.00 1.29 0.01
0.21 8.52 0.15 0.00 1.35 0.02
0.22 8.50 0.16 0.00 1.40 0.02
0.23 8.48 0.18 0.00 1.45 0.02
0.24 8.46 0.19 0.00 1.49 0.02
0.25 8.43 0.21 0.00 1.54 0.03
0.26 8.41 0.22 0.00 1.58 0.03
0.27 8.40 0.24 0.00 1.62 0.03
0.28 8.39 0.25 0.00 1.65 0.04
0.29 8.39 0.27 0.00 1.69 0.04
0.30 8.39 0.29 0.00 1.72 0.04
0.31 8.41 0.30 0.00 1.75 0.05
0.32 8.44 0.32 0.00 1.78 0.05
0.33 8.47 0.34 0.00 1.80 0.06
0.34 8.51 0.36 0.01 1.83 0.06
0.35 8.56 0.38 0.01 1.85 0.07
0.36 8.60 0.39 0.01 1.87 0.07
0.37 8.65 0.41 0.01 1.89 0.08
0.38 8.69 0.43 0.01 1.91 0.08
0.39 8.73 0.45 0.01 1.92 0.09
0.40 8.77 0.47 0.01 1.93 0.10
0.41 8.80 0.49 0.01 1.95 0.10
0.42 8.82 0.51 0.01 1.96 0.11
0.43 8.84 0.53 0.01 1.96 0.12
0.44 8.85 0.55 0.01 1.97 0.12
0.45 8.85 0.57 0.02 1.97 0.13
0.46 8.85 0.59 0.02 1.97 0.14
0.47 8.85 0.61 0.02 1.97 0.15
0.48 8.84 0.63 0.02 1.96 0.16
0.49 8.82 0.65 0.02 1.95 0.16
0.50 8.79 0.67 0.02 1.94 0.17
0.51 8.76 0.69 0.03 1.93 0.18
0.52 8.72 0.71 0.03 1.91 0.19
0.53 8.68 0.72 0.03 1.89 0.20
0.54 8.63 0.74 0.03 1.87 0.21
0.55 8.58 0.76 0.03 1.84 0.22
0.56 8.53 0.78 0.04 1.81 0.23
0.57 8.48 0.80 0.04 1.78 0.24
0.58 8.43 0.82 0.04 1.74 0.25
0.59 8.39 0.83 0.04 1.71 0.26
0.60 8.36 0.85 0.05 1.67 0.27
0.61 8.34 0.87 0.05 1.62 0.28
0.62 8.33 0.88 0.05 1.58 0.29
0.63 8.33 0.90 0.05 1.53 0.30
0.64 8.34 0.91 0.06 1.48 0.31
0.65 8.36 0.93 0.06 1.43 0.32
0.66 8.39 0.94 0.06 1.38 0.33
0.67 8.42 0.95 0.07 1.33 0.34
0.68 8.46 0.97 0.07 1.27 0.36
0.69 8.49 0.98 0.07 1.22 0.37
0.70 8.52 0.99 0.08 1.17 0.38
0.71 8.54 1.00 0.08 1.11 0.39
0.72 8.56 1.01 0.09 1.06 0.40
0.73 8.56 1.02 0.09 1.00 0.41
0.74 8.56 1.03 0.09 0.94 0.42
0.75 8.56 1.04 0.10 0.88 0.43
0.76 8.54 1.05 0.10 0.83 0.44
0.77 8.53 1.06 0.11 0.77 0.45
0.78 8.51 1.07 0.11 0.71 0.47
0.79 8.50 1.07 0.12 0.65 0.48
0.80 8.49 1.08 0.12 0.58 0.49
0.81 8.48 1.09 0.13 0.52 0.50
0.82 8.48 1.09 0.13 0.46 0.51
0.83 8.48 1.10 0.14 0.40 0.52
0.84 8.49 1.10 0.14 0.34 0.53
0.85 8.49 1.10 0.15 0.28 0.54
0.86 8.49 1.10 0.15 0.22 0.55
0.87 8.49 1.11 0.16 0.16 0.56
0.88 8.49 1.11 0.16 0.10 0.57
0.89 8.48 1.11 0.17 0.04 0.57
0.90 8.47 1.11 0.17 -0.02 0.58
0.91 8.45 1.11 0.18 -0.07 0.59
0.92 8.42 1.11 0.19 -0.13 0.60
0.93 8.39 1.11 0.19 -0.19 0.61
0.94 8.36 1.10 0.20 -0.24 0.62
0.95 8.34 1.10 0.20 -0.30 0.62
0.96 8.31 1.10 0.21 -0.35 0.63
0.97 8.29 1.09 0.22 -0.40 0.64
0.98 8.28 1.09 0.22 -0.46 0.64
0.99 8.28 1.08 0.23 -0.51 0.65
1.00 8.28 1.08 0.24 -0.56 0.66
1.01 8.29 1.07 0.24 -0.60 0.66
