TI=0.05 | U_mean=16.00 | Ct_used=0.21 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_16_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 16.89 0.00 0.00 0.00 0.00
0.01 16.91 0.00 0.00 0.07 0.00
0.02 16.94 0.00 0.00 0.15 0.00
0.03 16.96 0.00 0.00 0.22 0.00
0.04 16.98 0.01 0.00 0.30 0.00
0.05 17.01 0.01 0.00 0.37 0.00
0.06 17.03 0.01 0.00 0.45 0.00
0.07 17.06 0.02 0.00 0.52 0.00
0.08 17.09 0.02 0.00 0.59 0.00
0.09 17.12 0.03 0.00 0.66 0.00
0.10 17.16 0.04 0.00 0.74 0.00
0.11 17.20 0.04 0.00 0.81 0.00
0.12 17.24 0.05 0.00 0.88 0.00
0.13 17.29 0.06 0.00 0.95 0.00
0.14 17.34 0.07 0.00 1.01 0.01
0.15 17.39 0.08 0.00 1.08 0.01
0.16 17.43 0.09 0.00 1.15 0.01
0.17 17.46 0.11 0.00 1.21 0.01
0.18 17.48 0.12 0.00 1.28 0.01
0.19 17.48 0.13 0.00 1.34 0.01
0.20 17.47 0.14 0.00 1.40 0.01
0.21 17.44 0.16 0.00 1.46 0.02
0.22 17.40 0.17 0.00 1.51 0.02
0.23 17.35 0.19 0.00 1.56 0.02
0.24 17.29 0.21 0.00 1.62 0.02
0.25 17.23 0.22 0.00 1.66 0.03
0.26 17.18 0.24 0.00 1.71 0.03
0.27 17.14 0.26 0.00 1.75 0.03
0.28 17.12 0.27 0.00 1.79 0.04
0.29 17.11 0.29 0.00 1.83 0.04
0.30 17.13 0.31 0.00 1.86 0.05
0.31 17.18 0.33 0.00 1.89 0.05
0.32 17.25 0.35 0.00 1.92 0.06
0.33 17.33 0.37 0.01 1.95 0.06
0.34 17.43 0.39 0.01 1.98 0.07
0.35 17.54 0.41 0.01 2.00 0.07
0.36 17.66 0.43 0.01 2.02 0.08
0.37 17.77 0.45 0.01 2.05 0.08
0.38 17.89 0.47 0.01 2.07 0.09
0.39 17.98 0.49 0.01 2.08 0.10
0.40 18.07 0.51 0.01 2.10 0.10
0.41 18.15 0.53 0.01 2.11 0.11
0.42 18.21 0.55 0.01 2.13 0.12
0.43 18.25 0.57 0.01 2.14 0.13
0.44 18.28 0.59 0.02 2.14 0.13
0.45 18.29 0.62 0.02 2.15 0.14
0.46 18.29 0.64 0.02 2.15 0.15
0.47 18.27 0.66 0.02 2.15 0.16
0.48 18.24 0.68 0.02 2.14 0.17
0.49 18.20 0.70 0.02 2.14 0.18
0.50 18.13 0.72 0.03 2.13 0.19
0.51 18.05 0.74 0.03 2.11 0.20
0.52 17.96 0.77 0.03 2.09 0.21
0.53 17.85 0.79 0.03 2.07 0.22
0.54 17.73 0.81 0.03 2.05 0.23
0.55 17.61 0.83 0.04 2.02 0.24
