TI=0.05 | U_mean=18.00 | Ct_used=0.15 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_18_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 19.05 0.00 0.00 0.00 0.00
0.01 19.08 0.00 0.00 0.07 0.00
0.02 19.11 0.00 0.00 0.13 0.00
0.03 19.14 0.00 0.00 0.20 0.00
0.04 19.16 0.01 0.00 0.27 0.00
0.05 19.19 0.01 0.00 0.33 0.00
0.06 19.22 0.01 0.00 0.40 0.00
0.07 19.25 0.02 0.00 0.46 0.00
0.08 19.28 0.02 0.00 0.53 0.00
0.09 19.32 0.03 0.00 0.59 0.00
0.10 19.36 0.03 0.00 0.66 0.00
0.11 19.41 0.04 0.00 0.72 0.00
0.12 19.47 0.05 0.00 0.78 0.00
0.13 19.52 0.06 0.00 0.84 0.00
0.14 19.58 0.06 0.00 0.91 0.00
0.15 19.64 0.07 0.00 0.97 0.01
0.16 19.68 0.08 0.00 1.03 0.01
0.17 19.72 0.09 0.00 1.08 0.01
0.18 19.74 0.11 0.00 1.14 0.01
0.19 19.75 0.12 0.00 1.20 0.01
0.20 19.73 0.13 0.00 1.25 0.01
0.21 19.70 0.14 0.00 1.30 0.01
0.22 19.65 0.16 0.00 1.35 0.02
0.23 19.59 0.17 0.00 1.40 0.02
0.24 19.52 0.18 0.00 1.44 0.02
0.25 19.45 0.20 0.00 1.49 0.02
0.26 19.39 0.21 0.00 1.53 0.03
0.27 19.34 0.23 0.00 1.56 0.03
0.28 19.32 0.24 0.00 1.60 0.03
0.29 19.32 0.26 0.00 1.63 0.04
0.30 19.34 0.28 0.00 1.66 0.04
0.31 19.39 0.29 0.00 1.69 0.05
0.32 19.47 0.31 0.00 1.72 0.05
0.33 19.57 0.33 0.00 1.74 0.05
0.34 19.69 0.35 0.01 1.77 0.06
0.35 19.82 0.36 0.01 1.79 0.06
0.36 19.95 0.38 0.01 1.81 0.07
0.37 20.09 0.40 0.01 1.83 0.07
0.38 20.22 0.42 0.01 1.85 0.08
0.39 20.34 0.44 0.01 1.86 0.09
0.40 20.44 0.46 0.01 1.88 0.09
0.41 20.53 0.47 0.01 1.89 0.10
0.42 20.59 0.49 0.01 1.90 0.11
0.43 20.65 0.51 0.01 1.91 0.11
0.44 20.68 0.53 0.01 1.92 0.12
0.45 20.70 0.55 0.02 1.92 0.13
0.46 20.69 0.57 0.02 1.92 0.13
0.47 20.67 0.59 0.02 1.92 0.14
0.48 20.64 0.61 0.02 1.92 0.15
0.49 20.58 0.63 0.02 1.91 0.16
0.50 20.51 0.65 0.02 1.90 0.17
0.51 20.42 0.67 0.02 1.89 0.17
0.52 20.31 0.68 0.03 1.88 0.18
0.53 20.18 0.70 0.03 1.86 0.19
0.54 20.04 0.72 0.03 1.84 0.20
0.55 19.89 0.74 0.03 1.81 0.21
0.56 19.74 0.76 0.03 1.78 0.22
0.57 19.59 0.78 0.04 1.75 0.23
0.58 19.45 0.79 0.04 1.72 0.24
0.59 19.34 0.81 0.04 1.68 0.25
0.60 19.24 0.83 0.04 1.64 0.26
0.61 19.18 0.84 0.05 1.60 0.27
0.62 19.15 0.86 0.05 1.55 0.28
0.63 19.15 0.87 0.05 1.51 0.29
0.64 19.19 0.89 0.05 1.46 0.30
0.65 19.25 0.90 0.06 1.41 0.31
0.66 19.33 0.92 0.06 1.36 0.32
0.67 19.43 0.93 0.06 1.30 0.33
0.68 19.53 0.94 0.07 1.25 0.34
0.69 19.63 0.95 0.07 1.20 0.36
0.70 19.72 0.97 0.07 1.15 0.37
0.71 19.78 0.98 0.08 1.09 0.38
0.72 19.83 0.99 0.08 1.04 0.39
0.73 19.85 1.00 0.09 0.99 0.40
0.74 19.85 1.01 0.09 0.93 0.41
0.75 19.83 1.02 0.09 0.87 0.42
0.76 19.79 1.03 0.10 0.82 0.43
