TI=0.05 | U_mean=7.00 | Ct_used=0.86 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_7_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 7.24 0.00 0.00 0.00 0.00
0.01 7.24 0.00 0.00 0.06 0.00
0.02 7.25 0.00 0.00 0.11 0.00
0.03 7.26 0.00 0.00 0.17 0.00
0.04 7.27 0.00 0.00 0.22 0.00
0.05 7.28 0.01 0.00 0.28 0.00
0.06 7.28 0.01 0.00 0.33 0.00
0.07 7.29 0.01 0.00 0.39 0.00
0.08 7.30 0.02 0.00 0.44 0.00
0.09 7.31 0.02 0.00 0.49 0.00
0.10 7.32 0.03 0.00 0.55 0.00
0.11 7.34 0.03 0.00 0.60 0.00
0.12 7.35 0.04 0.00 0.65 0.00
0.13 7.37 0.05 0.00 0.70 0.00
0.14 7.39 0.05 0.00 0.75 0.00
0.15 7.40 0.06 0.00 0.80 0.00
0.16 7.42 0.07 0.00 0.85 0.01
0.17 7.43 0.08 0.00 0.90 0.01
0.18 7.43 0.09 0.00 0.95 0.01
0.19 7.43 0.10 0.00 0.99 0.01
0.20 7.43 0.11 0.00 1.04 0.01
0.21 7.42 0.12 0.00 1.08 0.01
0.22 7.41 0.13 0.00 1.12 0.01
0.23 7.39 0.14 0.00 1.16 0.02
0.24 7.37 0.15 0.00 1.19 0.02
0.25 7.35 0.16 0.00 1.23 0.02
0.26 7.33 0.18 0.00 1.26 0.02
0.27 7.32 0.19 0.00 1.29 0.03
0.28 7.31 0.20 0.00 1.32 0.03
0.29 7.31 0.22 0.00 1.35 0.03
0.30 7.32 0.23 0.00 1.38 0.03
0.31 7.33 0.24 0.00 1.40 0.04
0.32 7.35 0.26 0.00 1.42 0.04
0.33 7.38 0.27 0.00 1.44 0.05
