TI=0.05 | U_mean=6.00 | Ct_used=0.90 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_6_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 6.18 0.00 0.00 0.00 0.00
0.01 6.18 0.00 0.00 0.04 0.00
0.02 6.19 0.00 0.00 0.09 0.00
0.03 6.20 0.00 0.00 0.13 0.00
0.04 6.20 0.00 0.00 0.17 0.00
0.05 6.21 0.01 0.00 0.21 0.00
0.06 6.22 0.01 0.00 0.25 0.00
0.07 6.22 0.01 0.00 0.30 0.00
0.08 6.23 0.01 0.00 0.34 0.00
0.09 6.24 0.02 0.00 0.38 0.00
0.10 6.25 0.02 0.00 0.42 0.00
0.11 6.26 0.03 0.00 0.46 0.00
0.12 6.27 0.03 0.00 0.50 0.00
0.13 6.29 0.04 0.00 0.54 0.00
0.14 6.30 0.04 0.00 0.58 0.00
0.15 6.31 0.05 0.00 0.62 0.00
0.16 6.32 0.05 0.00 0.65 0.00
0.17 6.33 0.06 0.00 0.69 0.01
0.18 6.34 0.07 0.00 0.73 0.01
0.19 6.34 0.07 0.00 0.76 0.01
0.20 6.33 0.08 0.00 0.79 0.01
0.21 6.33 0.09 0.00 0.83 0.01
0.22 6.32 0.10 0.00 0.86 0.01
0.23 6.30 0.11 0.00 0.89 0.01
0.24 6.29 0.12 0.00 0.92 0.01
0.25 6.27 0.13 0.00 0.94 0.02
0.26 6.25 0.14 0.00 0.97 0.02
0.27 6.24 0.15 0.00 0.99 0.02
0.28 6.24 0.16 0.00 1.01 0.02
0.29 6.24 0.17 0.00 1.04 0.02
0.30 6.24 0.18 0.00 1.05 0.03
0.31 6.25 0.19 0.00 1.07 0.03
0.32 6.27 0.20 0.00 1.09 0.03
0.33 6.30 0.21 0.00 1.11 0.03
0.34 6.32 0.22 0.00 1.12 0.04
0.35 6.35 0.23 0.00 1.13 0.04
0.36 6.38 0.24 0.00 1.15 0.04
0.37 6.42 0.25 0.00 1.16 0.05
0.38 6.45 0.27 0.01 1.17 0.05
0.39 6.47 0.28 0.01 1.18 0.06
0.40 6.50 0.29 0.01 1.19 0.06
0.41 6.52 0.30 0.01 1.19 0.06
0.42 6.53 0.31 0.01 1.20 0.07
0.43 6.54 0.32 0.01 1.20 0.07
0.44 6.55 0.34 0.01 1.20 0.08
0.45 6.56 0.35 0.01 1.21 0.08
0.46 6.55 0.36 0.01 1.21 0.09
0.47 6.55 0.37 0.01 1.20 0.09
0.48 6.54 0.39 0.01 1.20 0.10
0.49 6.53 0.40 0.01 1.19 0.10
0.50 6.51 0.41 0.01 1.19 0.11
0.51 6.49 0.42 0.02 1.18 0.11
0.52 6.46 0.43 0.02 1.17 0.12
0.53 6.44 0.44 0.02 1.16 0.12
0.54 6.40 0.46 0.02 1.14 0.13
0.55 6.37 0.47 0.02 1.12 0.13
0.56 6.33 0.48 0.02 1.11 0.14
0.57 6.30 0.49 0.02 1.09 0.15
