TI=0.05 | U_mean=22.00 | Ct_used=0.08 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_22_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 23.39 0.00 0.00 0.00 0.00
0.01 23.43 0.00 0.00 0.06 0.00
0.02 23.46 0.00 0.00 0.11 0.00
0.03 23.50 0.00 0.00 0.17 0.00
0.04 23.54 0.00 0.00 0.23 0.00
0.05 23.57 0.01 0.00 0.28 0.00
0.06 23.61 0.01 0.00 0.34 0.00
0.07 23.65 0.01 0.00 0.40 0.00
0.08 23.69 0.02 0.00 0.45 0.00
0.09 23.74 0.02 0.00 0.51 0.00
0.10 23.80 0.03 0.00 0.56 0.00
0.11 23.86 0.03 0.00 0.62 0.00
0.12 23.93 0.04 0.00 0.67 0.00
0.13 24.01 0.05 0.00 0.72 0.00
0.14 24.08 0.06 0.00 0.78 0.00
0.15 24.15 0.06 0.00 0.83 0.00
0.16 24.22 0.07 0.00 0.88 0.01
0.17 24.27 0.08 0.00 0.93 0.01
0.18 24.29 0.09 0.00 0.98 0.01
0.19 24.30 0.10 0.00 1.03 0.01
0.20 24.28 0.11 0.00 1.07 0.01
0.21 24.24 0.12 0.00 1.12 0.01
0.22 24.17 0.13 0.00 1.16 0.01
0.23 24.09 0.14 0.00 1.20 0.02
0.24 24.00 0.16 0.00 1.24 0.02
0.25 23.91 0.17 0.00 1.28 0.02
0.26 23.83 0.18 0.00 1.31 0.02
0.27 23.77 0.20 0.00 1.34 0.03
0.28 23.74 0.21 0.00 1.37 0.03
0.29 23.73 0.22 0.00 1.40 0.03
0.30 23.77 0.24 0.00 1.43 0.04
0.31 23.83 0.25 0.00 1.45 0.04
0.32 23.93 0.27 0.00 1.47 0.04
0.33 24.07 0.28 0.00 1.50 0.05
0.34 24.22 0.30 0.00 1.52 0.05
0.35 24.39 0.31 0.01 1.54 0.06
0.36 24.57 0.33 0.01 1.55 0.06
0.37 24.74 0.34 0.01 1.57 0.06
0.38 24.91 0.36 0.01 1.59 0.07
0.39 25.07 0.37 0.01 1.60 0.07
0.40 25.20 0.39 0.01 1.61 0.08
0.41 25.32 0.41 0.01 1.62 0.08
0.42 25.41 0.42 0.01 1.63 0.09
0.43 25.47 0.44 0.01 1.64 0.10
0.44 25.52 0.46 0.01 1.65 0.10
0.45 25.54 0.47 0.01 1.65 0.11
0.46 25.53 0.49 0.01 1.65 0.12
0.47 25.51 0.51 0.02 1.65 0.12
0.48 25.46 0.52 0.02 1.65 0.13
0.49 25.39 0.54 0.02 1.65 0.14
0.50 25.29 0.55 0.02 1.64 0.14
0.51 25.17 0.57 0.02 1.63 0.15
0.52 25.03 0.59 0.02 1.62 0.16
0.53 24.86 0.60 0.02 1.60 0.17
0.54 24.68 0.62 0.03 1.58 0.17
0.55 24.49 0.64 0.03 1.56 0.18
0.56 24.29 0.65 0.03 1.54 0.19
0.57 24.09 0.67 0.03 1.51 0.20
0.58 23.92 0.68 0.03 1.48 0.21
0.59 23.76 0.70 0.04 1.45 0.21
0.60 23.64 0.71 0.04 1.41 0.22
0.61 23.56 0.72 0.04 1.38 0.23
0.62 23.52 0.74 0.04 1.34 0.24
0.63 23.52 0.75 0.04 1.30 0.25
0.64 23.57 0.76 0.05 1.26 0.26
0.65 23.65 0.78 0.05 1.21 0.27
0.66 23.76 0.79 0.05 1.17 0.28
0.67 23.89 0.80 0.06 1.12 0.29
0.68 24.02 0.81 0.06 1.08 0.30
0.69 24.15 0.82 0.06 1.03 0.31
0.70 24.26 0.83 0.06 0.99 0.31
0.71 24.35 0.84 0.07 0.94 0.32
0.72 24.41 0.85 0.07 0.90 0.33
0.73 24.43 0.86 0.07 0.85 0.34
0.74 24.43 0.87 0.08 0.80 0.35
0.75 24.40 0.87 0.08 0.75 0.36
0.76 24.36 0.88 0.08 0.70 0.37
0.77 24.30 0.89 0.09 0.65 0.38
0.78 24.24 0.89 0.09 0.60 0.39
0.79 24.19 0.90 0.10 0.55 0.40
0.80 24.15 0.91 0.10 0.50 0.41
0.81 24.13 0.91 0.10 0.45 0.41
0.82 24.12 0.91 0.11 0.40 0.42
0.83 24.13 0.92 0.11 0.35 0.43
0.84 24.14 0.92 0.12 0.30 0.44
