TI=0.15 | U_mean=15.00 | Ct_used=0.26 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_15_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 15.81 0.00 0.00 0.00 0.00
0.01 15.83 0.00 0.00 0.08 0.00
0.02 15.85 0.00 0.00 0.16 0.00
0.03 15.87 0.00 0.00 0.24 0.00
0.04 15.90 0.01 0.00 0.32 0.00
0.05 15.92 0.01 0.00 0.40 0.00
0.06 15.94 0.01 0.00 0.48 0.00
0.07 15.96 0.02 0.00 0.56 0.00
0.08 15.99 0.03 0.00 0.64 0.00
0.09 16.02 0.03 0.00 0.71 0.00
0.10 16.05 0.04 0.00 0.79 0.00
0.11 16.09 0.05 0.00 0.87 0.00
0.12 16.13 0.06 0.00 0.94 0.00
0.13 16.18 0.07 0.00 1.02 0.00
0.14 16.23 0.08 0.00 1.09 0.01
0.15 16.27 0.09 0.00 1.16 0.01
0.16 16.31 0.10 0.00 1.23 0.01
0.17 16.33 0.11 0.00 1.30 0.01
0.18 16.35 0.13 0.00 1.37 0.01
0.19 16.36 0.14 0.00 1.44 0.01
0.20 16.34 0.16 0.00 1.50 0.02
0.21 16.32 0.17 0.00 1.57 0.02
0.22 16.28 0.19 0.00 1.62 0.02
0.23 16.23 0.20 0.00 1.68 0.02
0.24 16.18 0.22 0.00 1.74 0.03
0.25 16.12 0.24 0.00 1.79 0.03
0.26 16.08 0.26 0.00 1.83 0.03
0.27 16.04 0.27 0.00 1.88 0.04
0.28 16.02 0.29 0.00 1.92 0.04
0.29 16.02 0.31 0.00 1.96 0.05
0.30 16.03 0.33 0.00 2.00 0.05
0.31 16.07 0.35 0.00 2.03 0.06
0.32 16.14 0.37 0.00 2.07 0.06
0.33 16.21 0.39 0.01 2.10 0.07
0.34 16.31 0.42 0.01 2.12 0.07
0.35 16.41 0.44 0.01 2.15 0.08
0.36 16.52 0.46 0.01 2.18 0.08
0.37 16.62 0.48 0.01 2.20 0.09
0.38 16.72 0.50 0.01 2.22 0.10
0.39 16.82 0.52 0.01 2.24 0.10
0.40 16.90 0.55 0.01 2.26 0.11
0.41 16.96 0.57 0.01 2.27 0.12
0.42 17.02 0.59 0.01 2.28 0.13
0.43 17.06 0.62 0.02 2.29 0.14
0.44 17.09 0.64 0.02 2.30 0.14
0.45 17.10 0.66 0.02 2.31 0.15
0.46 17.10 0.68 0.02 2.31 0.16
0.47 17.08 0.71 0.02 2.31 0.17
0.48 17.05 0.73 0.02 2.30 0.18
0.49 17.01 0.75 0.03 2.29 0.19
0.50 16.95 0.78 0.03 2.28 0.20
0.51 16.88 0.80 0.03 2.27 0.21
0.52 16.79 0.82 0.03 2.25 0.22
0.53 16.69 0.84 0.03 2.23 0.23
0.54 16.58 0.87 0.04 2.20 0.24
0.55 16.46 0.89 0.04 2.17 0.25
0.56 16.35 0.91 0.04 2.13 0.27
0.57 16.23 0.93 0.04 2.10 0.28
0.58 16.12 0.95 0.05 2.06 0.29
0.59 16.03 0.97 0.05 2.01 0.30
0.60 15.96 0.99 0.05 1.96 0.31
0.61 15.91 1.01 0.06 1.91 0.33
0.62 15.88 1.03 0.06 1.86 0.34
0.63 15.88 1.05 0.06 1.80 0.35
0.64 15.91 1.07 0.07 1.74 0.36
0.65 15.96 1.08 0.07 1.68 0.38
0.66 16.03 1.10 0.07 1.62 0.39
0.67 16.11 1.12 0.08 1.56 0.40
0.68 16.18 1.13 0.08 1.50 0.41
0.69 16.26 1.15 0.09 1.44 0.43
0.70 16.33 1.16 0.09 1.37 0.44
0.71 16.38 1.17 0.09 1.31 0.45
0.72 16.42 1.19 0.10 1.24 0.47
0.73 16.43 1.20 0.10 1.18 0.48
0.74 16.43 1.21 0.11 1.11 0.49
0.75 16.41 1.22 0.11 1.04 0.50
0.76 16.39 1.23 0.12 0.98 0.52
0.77 16.35 1.24 0.12 0.91 0.53
0.78 16.32 1.25 0.13 0.84 0.54
0.79 16.29 1.26 0.13 0.76 0.56
0.80 16.26 1.26 0.14 0.69 0.57
0.81 16.25 1.27 0.15 0.62 0.58
0.82 16.24 1.28 0.15 0.55 0.59
0.83 16.25 1.28 0.16 0.48 0.60
0.84 16.25 1.29 0.16 0.41 0.62
0.85 16.27 1.29 0.17 0.33 0.63
0.86 16.27 1.29 0.18 0.26 0.64
0.87 16.27 1.29 0.18 0.19 0.65
0.88 16.27 1.30 0.19 0.12 0.66
0.89 16.24 1.30 0.20 0.05 0.67
0.90 16.21 1.30 0.20 -0.01 0.68
0.91 16.16 1.30 0.21 -0.08 0.69
0.92 16.10 1.30 0.22 -0.15 0.70
0.93 16.04 1.29 0.22 -0.22 0.71
0.94 15.97 1.29 0.23 -0.28 0.72
0.95 15.91 1.29 0.24 -0.35 0.73
0.96 15.86 1.28 0.25 -0.41 0.74
0.97 15.82 1.28 0.25 -0.47 0.74
0.98 15.79 1.28 0.26 -0.54 0.75
0.99 15.78 1.27 0.27 -0.60 0.76
1.00 15.78 1.26 0.28 -0.65 0.77
1.01 15.80 1.26 0.28 -0.71 0.77
1.02 15.82 1.25 0.29 -0.76 0.78
1.03 15.85 1.24 0.30 -0.82 0.78
1.04 15.88 1.23 0.31 -0.86 0.79
1.05 15.91 1.22 0.31 -0.91 0.79
1.06 15.93 1.21 0.32 -0.95 0.80
1.07 15.95 1.20 0.33 -1.00 0.80
1.08 15.95 1.19 0.34 -1.03 0.80
1.09 15.95 1.18 0.35 -1.07 0.81
1.10 15.95 1.17 0.36 -1.10 0.81
1.11 15.95 1.16 0.36 -1.13 0.81
