TI=0.15 | U_mean=5.00 | Ct_used=0.92 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_5_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 5.12 0.00 0.00 0.00 0.00
0.01 5.13 0.00 0.00 0.03 0.00
0.02 5.13 0.00 0.00 0.06 0.00
0.03 5.14 0.00 0.00 0.09 0.00
0.04 5.14 0.00 0.00 0.12 0.00
0.05 5.15 0.00 0.00 0.15 0.00
0.06 5.15 0.01 0.00 0.18 0.00
0.07 5.16 0.01 0.00 0.21 0.00
0.08 5.17 0.01 0.00 0.24 0.00
0.09 5.17 0.01 0.00 0.26 0.00
0.10 5.18 0.01 0.00 0.29 0.00
0.11 5.19 0.02 0.00 0.32 0.00
0.12 5.20 0.02 0.00 0.35 0.00
0.13 5.21 0.02 0.00 0.38 0.00
0.14 5.22 0.03 0.00 0.40 0.00
0.15 5.23 0.03 0.00 0.43 0.00
0.16 5.24 0.04 0.00 0.46 0.00
0.17 5.25 0.04 0.00 0.48 0.00
0.18 5.25 0.05 0.00 0.51 0.00
0.19 5.25 0.05 0.00 0.53 0.01
0.20 5.25 0.06 0.00 0.55 0.01
0.21 5.24 0.06 0.00 0.58 0.01
0.22 5.23 0.07 0.00 0.60 0.01
0.23 5.22 0.08 0.00 0.62 0.01
0.24 5.21 0.08 0.00 0.64 0.01
0.25 5.20 0.09 0.00 0.66 0.01
0.26 5.18 0.09 0.00 0.68 0.01
0.27 5.18 0.10 0.00 0.69 0.01
0.28 5.17 0.11 0.00 0.71 0.02
0.29 5.17 0.12 0.00 0.72 0.02
0.30 5.17 0.12 0.00 0.74 0.02
0.31 5.18 0.13 0.00 0.75 0.02
0.32 5.20 0.14 0.00 0.76 0.02
0.33 5.22 0.15 0.00 0.77 0.02
0.34 5.24 0.15 0.00 0.78 0.03
0.35 5.26 0.16 0.00 0.79 0.03
0.36 5.29 0.17 0.00 0.80 0.03
0.37 5.31 0.18 0.00 0.81 0.03
0.38 5.33 0.19 0.00 0.82 0.04
0.39 5.36 0.19 0.00 0.82 0.04
0.40 5.38 0.20 0.00 0.83 0.04
0.41 5.39 0.21 0.00 0.83 0.04
0.42 5.40 0.22 0.01 0.84 0.05
0.43 5.41 0.23 0.01 0.84 0.05
