TI=0.15 | U_mean=12.00 | Ct_used=0.58 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_12_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 12.58 0.00 0.00 0.00 0.00
0.01 12.59 0.00 0.00 0.11 0.00
0.02 12.61 0.00 0.00 0.23 0.00
0.03 12.63 0.01 0.00 0.34 0.00
0.04 12.64 0.01 0.00 0.45 0.00
0.05 12.66 0.01 0.00 0.56 0.00
0.06 12.68 0.02 0.00 0.67 0.00
0.07 12.69 0.03 0.00 0.79 0.00
0.08 12.71 0.04 0.00 0.90 0.00
0.09 12.73 0.05 0.00 1.01 0.00
0.10 12.76 0.06 0.00 1.11 0.00
0.11 12.79 0.07 0.00 1.22 0.00
0.12 12.82 0.08 0.00 1.33 0.00
0.13 12.85 0.09 0.00 1.43 0.01
0.14 12.89 0.11 0.00 1.53 0.01
0.15 12.92 0.12 0.00 1.64 0.01
0.16 12.95 0.14 0.00 1.74 0.01
0.17 12.97 0.16 0.00 1.83 0.01
0.18 12.98 0.18 0.00 1.93 0.02
0.19 12.98 0.20 0.00 2.02 0.02
0.20 12.97 0.22 0.00 2.11 0.02
0.21 12.96 0.24 0.00 2.20 0.03
0.22 12.93 0.26 0.00 2.29 0.03
0.23 12.89 0.29 0.00 2.36 0.03
0.24 12.85 0.31 0.00 2.44 0.04
0.25 12.81 0.34 0.00 2.51 0.04
0.26 12.78 0.36 0.00 2.58 0.05
0.27 12.75 0.39 0.00 2.64 0.05
0.28 12.73 0.41 0.00 2.70 0.06
0.29 12.73 0.44 0.00 2.76 0.06
0.30 12.74 0.47 0.01 2.81 0.07
0.31 12.78 0.50 0.01 2.86 0.08
0.32 12.82 0.53 0.01 2.91 0.08
0.33 12.88 0.56 0.01 2.95 0.09
0.34 12.95 0.58 0.01 2.99 0.10
0.35 13.02 0.61 0.01 3.02 0.11
0.36 13.10 0.65 0.01 3.06 0.12
0.37 13.18 0.68 0.01 3.09 0.13
0.38 13.26 0.71 0.01 3.12 0.14
0.39 13.32 0.74 0.02 3.15 0.15
0.40 13.38 0.77 0.02 3.17 0.16
0.41 13.44 0.80 0.02 3.19 0.17
0.42 13.48 0.83 0.02 3.21 0.18
0.43 13.51 0.87 0.02 3.22 0.19
0.44 13.53 0.90 0.02 3.23 0.20
0.45 13.53 0.93 0.03 3.23 0.21
0.46 13.53 0.96 0.03 3.24 0.23
0.47 13.52 1.00 0.03 3.23 0.24
0.48 13.50 1.03 0.03 3.23 0.25
0.49 13.47 1.06 0.04 3.21 0.27
0.50 13.43 1.09 0.04 3.20 0.28
0.51 13.37 1.12 0.04 3.18 0.30
0.52 13.31 1.16 0.04 3.15 0.31
0.53 13.23 1.19 0.05 3.12 0.33
0.54 13.15 1.22 0.05 3.08 0.34
0.55 13.06 1.25 0.05 3.04 0.36
0.56 12.98 1.28 0.06 2.99 0.37
0.57 12.89 1.31 0.06 2.94 0.39
0.58 12.81 1.34 0.07 2.88 0.41
0.59 12.74 1.37 0.07 2.81 0.42
0.60 12.69 1.39 0.07 2.75 0.44
0.61 12.65 1.42 0.08 2.67 0.46
0.62 12.63 1.45 0.08 2.60 0.47
0.63 12.63 1.47 0.09 2.52 0.49
0.64 12.65 1.50 0.09 2.44 0.51
0.65 12.69 1.52 0.10 2.36 0.53
0.66 12.74 1.54 0.10 2.27 0.55
0.67 12.80 1.57 0.11 2.19 0.56
0.68 12.86 1.59 0.11 2.10 0.58
0.69 12.91 1.61 0.12 2.01 0.60
0.70 12.96 1.63 0.13 1.92 0.62
0.71 13.00 1.65 0.13 1.83 0.64
0.72 13.03 1.66 0.14 1.74 0.65
0.73 13.04 1.68 0.15 1.65 0.67
0.74 13.04 1.70 0.15 1.55 0.69
0.75 13.02 1.71 0.16 1.46 0.71
0.76 13.00 1.73 0.17 1.36 0.73
0.77 12.98 1.74 0.17 1.26 0.75
0.78 12.95 1.75 0.18 1.17 0.76
0.79 12.93 1.76 0.19 1.07 0.78
0.80 12.91 1.77 0.20 0.97 0.80
0.81 12.90 1.78 0.21 0.87 0.81
0.82 12.90 1.79 0.21 0.77 0.83
0.83 12.90 1.80 0.22 0.66 0.85
0.84 12.91 1.80 0.23 0.56 0.87
0.85 12.91 1.81 0.24 0.46 0.88
0.86 12.92 1.81 0.25 0.36 0.90
0.87 12.92 1.82 0.26 0.27 0.91
0.88 12.91 1.82 0.27 0.17 0.93
0.89 12.90 1.82 0.28 0.07 0.94
0.90 12.87 1.82 0.29 -0.02 0.96
0.91 12.84 1.82 0.30 -0.12 0.97
0.92 12.79 1.82 0.31 -0.21 0.98
0.93 12.74 1.82 0.31 -0.30 1.00
0.94 12.70 1.81 0.32 -0.40 1.01
0.95 12.65 1.81 0.34 -0.49 1.02
0.96 12.61 1.80 0.35 -0.58 1.03
0.97 12.58 1.80 0.36 -0.67 1.05
0.98 12.56 1.79 0.37 -0.75 1.06
0.99 12.55 1.78 0.38 -0.83 1.07
1.00 12.55 1.77 0.39 -0.92 1.08
1.01 12.57 1.76 0.40 -0.99 1.08
1.02 12.58 1.75 0.41 -1.07 1.09
1.03 12.61 1.74 0.42 -1.14 1.10
1.04 12.63 1.73 0.43 -1.21 1.11
1.05 12.65 1.72 0.44 -1.27 1.11
1.06 12.66 1.70 0.45 -1.33 1.12
1.07 12.67 1.69 0.46 -1.39 1.12
1.08 12.68 1.68 0.48 -1.45 1.13
1.09 12.68 1.66 0.49 -1.50 1.13
1.10 12.68 1.65 0.50 -1.54 1.13
1.11 12.68 1.63 0.51 -1.58 1.14
1.12 12.68 1.61 0.52 -1.62 1.14
1.13 12.70 1.60 0.53 -1.66 1.14
1.14 12.72 1.58 0.54 -1.69 1.14
1.15 12.75 1.56 0.56 -1.71 1.14
1.16 12.79 1.55 0.57 -1.73 1.14
1.17 12.84 1.53 0.58 -1.75 1.13
1.18 12.90 1.51 0.59 -1.76 1.13
1.19 12.96 1.49 0.60 -1.76 1.13
1.20 13.02 1.48 0.61 -1.77 1.12
1.21 13.07 1.46 0.62 -1.76 1.12
1.22 13.11 1.44 0.63 -1.75 1.11
1.23 13.13 1.42 0.65 -1.74 1.11
1.24 13.13 1.41 0.66 -1.72 1.10
1.25 13.12 1.39 0.67 -1.70 1.09
1.26 13.09 1.37 0.68 -1.68 1.08
1.27 13.04 1.36 0.69 -1.65 1.07
1.28 12.98 1.34 0.70 -1.62 1.06
1.29 12.91 1.32 0.71 -1.59 1.05
1.30 12.84 1.31 0.72 -1.55 1.04
1.31 12.77 1.29 0.73 -1.51 1.03
1.32 12.71 1.28 0.74 -1.47 1.02
1.33 12.65 1.26 0.75 -1.43 1.00
1.34 12.61 1.25 0.76 -1.38 0.99
1.35 12.58 1.24 0.77 -1.34 0.97
1.36 12.56 1.22 0.78 -1.29 0.96
1.37 12.54 1.21 0.79 -1.23 0.94
1.38 12.53 1.20 0.80 -1.18 0.93
1.39 12.53 1.19 0.81 -1.12 0.91
1.40 12.52 1.18 0.82 -1.06 0.89
1.41 12.50 1.17 0.83 -0.99 0.87
1.42 12.48 1.16 0.84 -0.93 0.86
1.43 12.45 1.15 0.84 -0.86 0.84
1.44 12.41 1.14 0.85 -0.79 0.82
1.45 12.36 1.13 0.86 -0.72 0.80
1.46 12.31 1.12 0.87 -0.65 0.78
1.47 12.26 1.12 0.88 -0.58 0.76
1.48 12.21 1.11 0.88 -0.50 0.74
1.49 12.15 1.11 0.89 -0.43 0.71
1.50 12.11 1.10 0.90 -0.35 0.69
1.51 12.07 1.10 0.90 -0.27 0.67
1.52 12.04 1.10 0.91 -0.20 0.65
1.53 12.02 1.10 0.92 -0.12 0.62
1.54 12.00 1.10 0.92 -0.04 0.60
1.55 11.99 1.10 0.93 0.04 0.58
1.56 11.99 1.10 0.94 0.12 0.55
1.57 11.98 1.10 0.94 0.20 0.53
1.58 11.98 1.10 0.95 0.28 0.51
1.59 11.97 1.10 0.95 0.36 0.48
1.60 11.96 1.11 0.96 0.44 0.46
1.61 11.94 1.11 0.96 0.52 0.43
1.62 11.92 1.12 0.96 0.60 0.41
1.63 11.90 1.13 0.97 0.68 0.38
1.64 11.88 1.13 0.97 0.76 0.36
1.65 11.86 1.14 0.98 0.84 0.33
1.66 11.85 1.15 0.98 0.91 0.31
1.67 11.84 1.16 0.98 0.99 0.29
1.68 11.83 1.17 0.98 1.06 0.26
1.69 11.83 1.18 0.99 1.14 0.24
1.70 11.84 1.19 0.99 1.21 0.21
1.71 11.85 1.20 0.99 1.28 0.19
1.72 11.87 1.22 0.99 1.35 0.16
1.73 11.89 1.23 0.99 1.42 0.14
1.74 11.92 1.25 1.00 1.48 0.11
1.75 11.94 1.26 1.00 1.55 0.09
1.76 11.96 1.28 1.00 1.61 0.07
1.77 11.98 1.29 1.00 1.67 0.04
1.78 11.99 1.31 1.00 1.73 0.02
1.79 12.01 1.33 1.00 1.79 -0.00
1.80 12.02 1.35 1.00 1.84 -0.03
1.81 12.03 1.36 1.00 1.90 -0.05
1.82 12.04 1.38 1.00 1.95 -0.07
1.83 12.04 1.40 1.00 1.99 -0.09
1.84 12.05 1.42 1.00 2.04 -0.11
1.85 12.06 1.44 0.99 2.08 -0.14
1.86 12.06 1.46 0.99 2.12 -0.16
1.87 12.07 1.49 0.99 2.15 -0.18
1.88 12.07 1.51 0.99 2.19 -0.20
1.89 12.07 1.53 0.99 2.22 -0.22
1.90 12.07 1.55 0.98 2.24 -0.24
1.91 12.07 1.57 0.98 2.26 -0.25
1.92 12.05 1.60 0.98 2.28 -0.27
1.93 12.04 1.62 0.98 2.30 -0.29
1.94 12.02 1.64 0.97 2.31 -0.31
1.95 11.99 1.67 0.97 2.31 -0.33
1.96 11.96 1.69 0.97 2.32 -0.34
1.97 11.94 1.71 0.96 2.32 -0.36
1.98 11.91 1.74 0.96 2.31 -0.37
