TI=0.15 | U_mean=10.00 | Ct_used=0.81 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_10_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 10.43 0.00 0.00 0.00 0.00
0.01 10.45 0.00 0.00 0.11 0.00
0.02 10.46 0.00 0.00 0.22 0.00
0.03 10.47 0.00 0.00 0.33 0.00
0.04 10.48 0.01 0.00 0.44 0.00
0.05 10.50 0.01 0.00 0.55 0.00
0.06 10.51 0.02 0.00 0.65 0.00
0.07 10.52 0.03 0.00 0.76 0.00
0.08 10.54 0.03 0.00 0.87 0.00
0.09 10.56 0.04 0.00 0.98 0.00
0.10 10.57 0.05 0.00 1.08 0.00
0.11 10.60 0.07 0.00 1.18 0.00
0.12 10.62 0.08 0.00 1.29 0.00
0.13 10.65 0.09 0.00 1.39 0.01
0.14 10.68 0.11 0.00 1.49 0.01
0.15 10.70 0.12 0.00 1.59 0.01
0.16 10.72 0.14 0.00 1.68 0.01
0.17 10.74 0.15 0.00 1.78 0.01
0.18 10.75 0.17 0.00 1.87 0.02
0.19 10.75 0.19 0.00 1.96 0.02
0.20 10.74 0.21 0.00 2.05 0.02
0.21 10.73 0.23 0.00 2.13 0.02
0.22 10.71 0.25 0.00 2.21 0.03
0.23 10.68 0.28 0.00 2.29 0.03
0.24 10.65 0.30 0.00 2.36 0.04
0.25 10.62 0.32 0.00 2.43 0.04
0.26 10.59 0.35 0.00 2.50 0.05
0.27 10.57 0.37 0.00 2.56 0.05
0.28 10.55 0.40 0.00 2.62 0.06
0.29 10.55 0.43 0.00 2.67 0.06
0.30 10.56 0.45 0.01 2.72 0.07
0.31 10.59 0.48 0.01 2.77 0.08
0.32 10.62 0.51 0.01 2.81 0.08
0.33 10.67 0.54 0.01 2.86 0.09
0.34 10.72 0.57 0.01 2.89 0.10
0.35 10.78 0.60 0.01 2.93 0.11
0.36 10.84 0.63 0.01 2.96 0.11
0.37 10.91 0.65 0.01 2.99 0.12
0.38 10.96 0.69 0.01 3.02 0.13
0.39 11.02 0.72 0.01 3.05 0.14
0.40 11.07 0.75 0.02 3.07 0.15
0.41 11.11 0.78 0.02 3.09 0.16
0.42 11.14 0.81 0.02 3.10 0.17
0.43 11.16 0.84 0.02 3.11 0.18
0.44 11.18 0.87 0.02 3.12 0.20
0.45 11.18 0.90 0.02 3.13 0.21
0.46 11.18 0.93 0.03 3.13 0.22
0.47 11.17 0.96 0.03 3.12 0.23
0.48 11.16 0.99 0.03 3.12 0.25
0.49 11.13 1.03 0.03 3.10 0.26
0.50 11.10 1.06 0.04 3.09 0.27
0.51 11.05 1.09 0.04 3.07 0.29
0.52 11.00 1.12 0.04 3.04 0.30
0.53 10.95 1.15 0.05 3.01 0.32
0.54 10.88 1.18 0.05 2.97 0.33
0.55 10.81 1.21 0.05 2.93 0.35
0.56 10.74 1.24 0.06 2.88 0.36
0.57 10.68 1.27 0.06 2.83 0.38
0.58 10.61 1.29 0.06 2.78 0.39
0.59 10.56 1.32 0.07 2.72 0.41
0.60 10.52 1.35 0.07 2.65 0.43
0.61 10.49 1.37 0.08 2.58 0.44
0.62 10.47 1.40 0.08 2.51 0.46
0.63 10.47 1.42 0.09 2.43 0.48
0.64 10.49 1.45 0.09 2.35 0.49
0.65 10.52 1.47 0.10 2.27 0.51
0.66 10.56 1.49 0.10 2.19 0.53
0.67 10.60 1.52 0.11 2.11 0.55
0.68 10.65 1.54 0.11 2.03 0.56
0.69 10.69 1.56 0.12 1.94 0.58
0.70 10.73 1.57 0.12 1.86 0.60
0.71 10.76 1.59 0.13 1.77 0.62
0.72 10.78 1.61 0.14 1.68 0.63
0.73 10.79 1.63 0.14 1.59 0.65
0.74 10.79 1.64 0.15 1.50 0.67
0.75 10.78 1.66 0.15 1.41 0.69
0.76 10.77 1.67 0.16 1.31 0.70
0.77 10.74 1.68 0.17 1.22 0.72
0.78 10.72 1.69 0.18 1.12 0.74
0.79 10.71 1.71 0.18 1.03 0.76
0.80 10.69 1.71 0.19 0.93 0.77
0.81 10.68 1.72 0.20 0.83 0.79
0.82 10.68 1.73 0.21 0.74 0.80
0.83 10.68 1.74 0.22 0.64 0.82
0.84 10.69 1.74 0.22 0.54 0.84
0.85 10.69 1.75 0.23 0.45 0.85
0.86 10.70 1.75 0.24 0.35 0.87
0.87 10.70 1.76 0.25 0.26 0.88
0.88 10.69 1.76 0.26 0.16 0.90
0.89 10.68 1.76 0.27 0.07 0.91
0.90 10.66 1.76 0.28 -0.02 0.93
