TI=0.10 | U_mean=9.00 | Ct_used=0.81 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_9_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 9.36 0.00 0.00 0.00 0.00
0.01 9.38 0.00 0.00 0.09 0.00
0.02 9.39 0.00 0.00 0.18 0.00
0.03 9.40 0.00 0.00 0.26 0.00
0.04 9.41 0.01 0.00 0.35 0.00
0.05 9.42 0.01 0.00 0.44 0.00
0.06 9.43 0.02 0.00 0.53 0.00
0.07 9.44 0.02 0.00 0.61 0.00
0.08 9.46 0.03 0.00 0.70 0.00
0.09 9.47 0.04 0.00 0.79 0.00
0.10 9.49 0.04 0.00 0.87 0.00
0.11 9.51 0.05 0.00 0.95 0.00
0.12 9.53 0.06 0.00 1.04 0.00
0.13 9.55 0.07 0.00 1.12 0.00
0.14 9.57 0.09 0.00 1.20 0.01
0.15 9.60 0.10 0.00 1.28 0.01
0.16 9.62 0.11 0.00 1.36 0.01
0.17 9.63 0.12 0.00 1.43 0.01
0.18 9.64 0.14 0.00 1.51 0.01
0.19 9.64 0.15 0.00 1.58 0.01
0.20 9.63 0.17 0.00 1.65 0.02
0.21 9.62 0.19 0.00 1.72 0.02
0.22 9.60 0.21 0.00 1.78 0.02
0.23 9.58 0.22 0.00 1.84 0.03
0.24 9.55 0.24 0.00 1.90 0.03
0.25 9.52 0.26 0.00 1.96 0.03
0.26 9.50 0.28 0.00 2.01 0.04
0.27 9.48 0.30 0.00 2.06 0.04
0.28 9.47 0.32 0.00 2.11 0.05
0.29 9.47 0.34 0.00 2.15 0.05
0.30 9.48 0.37 0.00 2.19 0.06
0.31 9.50 0.39 0.00 2.23 0.06
0.32 9.53 0.41 0.01 2.26 0.07
0.33 9.57 0.43 0.01 2.30 0.07
0.34 9.62 0.46 0.01 2.33 0.08
0.35 9.67 0.48 0.01 2.36 0.08
0.36 9.72 0.50 0.01 2.38 0.09
0.37 9.78 0.53 0.01 2.41 0.10
0.38 9.83 0.55 0.01 2.43 0.11
0.39 9.87 0.58 0.01 2.45 0.11
0.40 9.91 0.60 0.01 2.47 0.12
0.41 9.95 0.63 0.01 2.48 0.13
0.42 9.98 0.65 0.02 2.49 0.14
0.43 10.00 0.67 0.02 2.50 0.15
0.44 10.01 0.70 0.02 2.51 0.16
0.45 10.02 0.73 0.02 2.51 0.17
0.46 10.01 0.75 0.02 2.51 0.18
0.47 10.01 0.78 0.02 2.51 0.19
0.48 9.99 0.80 0.03 2.50 0.20
0.49 9.97 0.83 0.03 2.49 0.21
0.50 9.94 0.85 0.03 2.48 0.22
0.51 9.90 0.88 0.03 2.46 0.23
0.52 9.86 0.90 0.03 2.44 0.24
0.53 9.81 0.92 0.04 2.42 0.25
0.54 9.75 0.95 0.04 2.39 0.27
0.55 9.69 0.97 0.04 2.35 0.28
0.56 9.63 0.99 0.04 2.31 0.29
0.57 9.57 1.02 0.05 2.27 0.30
0.58 9.52 1.04 0.05 2.23 0.32
0.59 9.47 1.06 0.05 2.18 0.33
0.60 9.44 1.08 0.06 2.13 0.34
0.61 9.41 1.10 0.06 2.07 0.36
0.62 9.40 1.13 0.06 2.01 0.37
0.63 9.40 1.15 0.07 1.95 0.38
0.64 9.41 1.16 0.07 1.89 0.40
0.65 9.44 1.18 0.08 1.83 0.41
0.66 9.47 1.20 0.08 1.76 0.42
0.67 9.51 1.22 0.08 1.69 0.44
0.68 9.55 1.23 0.09 1.63 0.45
0.69 9.59 1.25 0.09 1.56 0.47
0.70 9.62 1.27 0.10 1.49 0.48
0.71 9.65 1.28 0.10 1.42 0.50
0.72 9.67 1.29 0.11 1.35 0.51
0.73 9.68 1.31 0.11 1.28 0.52
0.74 9.68 1.32 0.12 1.20 0.54
0.75 9.67 1.33 0.12 1.13 0.55
0.76 9.65 1.34 0.13 1.05 0.57
0.77 9.63 1.35 0.14 0.98 0.58
0.78 9.62 1.36 0.14 0.90 0.59
