TI=0.10 | U_mean=23.00 | Ct_used=0.07 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_23_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 24.48 0.00 0.00 0.00 0.00
0.01 24.51 0.00 0.00 0.05 0.00
0.02 24.55 0.00 0.00 0.11 0.00
0.03 24.59 0.00 0.00 0.16 0.00
0.04 24.63 0.00 0.00 0.22 0.00
0.05 24.67 0.01 0.00 0.27 0.00
0.06 24.71 0.01 0.00 0.33 0.00
0.07 24.75 0.01 0.00 0.38 0.00
0.08 24.80 0.02 0.00 0.44 0.00
0.09 24.85 0.02 0.00 0.49 0.00
0.10 24.91 0.03 0.00 0.54 0.00
0.11 24.98 0.03 0.00 0.59 0.00
0.12 25.05 0.04 0.00 0.65 0.00
0.13 25.13 0.05 0.00 0.70 0.00
0.14 25.21 0.05 0.00 0.75 0.00
0.15 25.29 0.06 0.00 0.80 0.00
0.16 25.35 0.07 0.00 0.85 0.01
0.17 25.41 0.08 0.00 0.90 0.01
0.18 25.43 0.09 0.00 0.94 0.01
0.19 25.44 0.10 0.00 0.99 0.01
0.20 25.42 0.11 0.00 1.03 0.01
0.21 25.38 0.12 0.00 1.08 0.01
0.22 25.31 0.13 0.00 1.12 0.01
0.23 25.22 0.14 0.00 1.16 0.02
0.24 25.13 0.15 0.00 1.20 0.02
0.25 25.03 0.16 0.00 1.23 0.02
0.26 24.95 0.18 0.00 1.26 0.02
0.27 24.88 0.19 0.00 1.30 0.03
0.28 24.84 0.20 0.00 1.32 0.03
0.29 24.84 0.22 0.00 1.35 0.03
0.30 24.87 0.23 0.00 1.38 0.03
0.31 24.95 0.24 0.00 1.40 0.04
0.32 25.05 0.26 0.00 1.42 0.04
0.33 25.19 0.27 0.00 1.44 0.05
0.34 25.36 0.29 0.00 1.46 0.05
0.35 25.54 0.30 0.00 1.48 0.05
0.36 25.73 0.32 0.01 1.50 0.06
0.37 25.91 0.33 0.01 1.52 0.06
0.38 26.09 0.35 0.01 1.53 0.07
0.39 26.25 0.36 0.01 1.54 0.07
0.40 26.40 0.38 0.01 1.56 0.08
0.41 26.52 0.39 0.01 1.57 0.08
0.42 26.61 0.41 0.01 1.58 0.09
0.43 26.68 0.42 0.01 1.59 0.09
0.44 26.73 0.44 0.01 1.59 0.10
0.45 26.75 0.46 0.01 1.60 0.10
0.46 26.75 0.47 0.01 1.60 0.11
0.47 26.72 0.49 0.01 1.60 0.12
0.48 26.67 0.50 0.02 1.60 0.12
0.49 26.60 0.52 0.02 1.59 0.13
0.50 26.50 0.54 0.02 1.58 0.14
0.51 26.37 0.55 0.02 1.57 0.14
0.52 26.21 0.57 0.02 1.56 0.15
0.53 26.04 0.58 0.02 1.55 0.16
0.54 25.84 0.60 0.02 1.53 0.17
0.55 25.64 0.61 0.03 1.51 0.17
0.56 25.43 0.63 0.03 1.48 0.18
0.57 25.22 0.64 0.03 1.46 0.19
0.58 25.04 0.66 0.03 1.43 0.20
0.59 24.87 0.67 0.03 1.40 0.21
0.60 24.74 0.69 0.04 1.37 0.22
0.61 24.65 0.70 0.04 1.33 0.22
0.62 24.61 0.71 0.04 1.29 0.23
0.63 24.62 0.72 0.04 1.25 0.24
0.64 24.67 0.74 0.05 1.21 0.25
0.65 24.75 0.75 0.05 1.17 0.26
0.66 24.87 0.76 0.05 1.13 0.27
0.67 25.01 0.77 0.05 1.09 0.28
0.68 25.15 0.78 0.06 1.04 0.29
0.69 25.28 0.79 0.06 1.00 0.29
0.70 25.40 0.80 0.06 0.96 0.30
0.71 25.50 0.81 0.07 0.91 0.31
0.72 25.56 0.82 0.07 0.87 0.32
0.73 25.59 0.83 0.07 0.82 0.33
0.74 25.58 0.84 0.07 0.77 0.34
0.75 25.55 0.84 0.08 0.73 0.35
0.76 25.50 0.85 0.08 0.68 0.36
0.77 25.45 0.86 0.09 0.63 0.37
0.78 25.38 0.86 0.09 0.58 0.37
0.79 25.33 0.87 0.09 0.53 0.38
0.80 25.29 0.87 0.10 0.49 0.39
0.81 25.26 0.88 0.10 0.44 0.40
0.82 25.25 0.88 0.10 0.39 0.41
0.83 25.26 0.89 0.11 0.34 0.42
0.84 25.28 0.89 0.11 0.29 0.43
0.85 25.30 0.89 0.12 0.24 0.43
0.86 25.31 0.89 0.12 0.19 0.44
0.87 25.31 0.90 0.13 0.14 0.45
0.88 25.30 0.90 0.13 0.09 0.46
0.89 25.26 0.90 0.14 0.04 0.46
0.90 25.20 0.90 0.14 -0.00 0.47
0.91 25.11 0.90 0.14 -0.05 0.48
0.92 25.01 0.90 0.15 -0.10 0.48
0.93 24.90 0.90 0.15 -0.15 0.49
0.94 24.79 0.89 0.16 -0.19 0.50
0.95 24.68 0.89 0.16 -0.24 0.50
0.96 24.58 0.89 0.17 -0.28 0.51
0.97 24.51 0.89 0.17 -0.33 0.51
0.98 24.46 0.88 0.18 -0.37 0.52
0.99 24.44 0.88 0.19 -0.41 0.53
1.00 24.45 0.87 0.19 -0.45 0.53
1.01 24.48 0.87 0.20 -0.49 0.53
1.02 24.52 0.87 0.20 -0.53 0.54
1.03 24.57 0.86 0.21 -0.57 0.54
1.04 24.63 0.85 0.21 -0.60 0.55
1.05 24.68 0.85 0.22 -0.63 0.55
1.06 24.71 0.84 0.22 -0.67 0.55
1.07 24.74 0.83 0.23 -0.69 0.55
1.08 24.75 0.83 0.23 -0.72 0.56
1.09 24.75 0.82 0.24 -0.75 0.56
1.10 24.75 0.81 0.25 -0.77 0.56
1.11 24.75 0.80 0.25 -0.79 0.56
1.12 24.77 0.80 0.26 -0.81 0.56
1.13 24.80 0.79 0.26 -0.83 0.56
1.14 24.85 0.78 0.27 -0.84 0.56
1.15 24.92 0.77 0.27 -0.85 0.56
1.16 25.03 0.76 0.28 -0.87 0.56
1.17 25.15 0.75 0.28 -0.87 0.56
1.18 25.29 0.75 0.29 -0.88 0.56
1.19 25.43 0.74 0.30 -0.88 0.56
1.20 25.56 0.73 0.30 -0.88 0.55
1.21 25.68 0.72 0.31 -0.88 0.55
1.22 25.77 0.71 0.31 -0.88 0.55
1.23 25.83 0.70 0.32 -0.87 0.55
1.24 25.84 0.69 0.32 -0.86 0.54
1.25 25.81 0.68 0.33 -0.85 0.54
1.26 25.73 0.68 0.33 -0.84 0.53
1.27 25.62 0.67 0.34 -0.82 0.53
1.28 25.48 0.66 0.34 -0.81 0.52
1.29 25.32 0.65 0.35 -0.79 0.52
1.30 25.15 0.64 0.35 -0.77 0.51
1.31 24.98 0.64 0.36 -0.76 0.51
1.32 24.84 0.63 0.37 -0.74 0.50
1.33 24.71 0.62 0.37 -0.72 0.50
1.34 24.61 0.61 0.37 -0.69 0.49
1.35 24.53 0.61 0.38 -0.67 0.48
1.36 24.48 0.60 0.38 -0.65 0.47
