TI=0.10 | U_mean=11.00 | Ct_used=0.81 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_11_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 11.51 0.00 0.00 0.00 0.00
0.01 11.52 0.00 0.00 0.13 0.00
0.02 11.53 0.00 0.00 0.27 0.00
0.03 11.55 0.01 0.00 0.40 0.00
0.04 11.56 0.01 0.00 0.53 0.00
0.05 11.58 0.02 0.00 0.66 0.00
0.06 11.59 0.02 0.00 0.80 0.00
0.07 11.61 0.03 0.00 0.93 0.00
0.08 11.62 0.04 0.00 1.06 0.00
0.09 11.64 0.05 0.00 1.19 0.00
0.10 11.67 0.07 0.00 1.31 0.00
0.11 11.69 0.08 0.00 1.44 0.00
0.12 11.72 0.09 0.00 1.57 0.01
0.13 11.75 0.11 0.00 1.69 0.01
0.14 11.78 0.13 0.00 1.81 0.01
0.15 11.81 0.15 0.00 1.93 0.01
0.16 11.83 0.17 0.00 2.05 0.01
0.17 11.85 0.19 0.00 2.16 0.02
0.18 11.86 0.21 0.00 2.28 0.02
0.19 11.87 0.23 0.00 2.39 0.02
0.20 11.86 0.26 0.00 2.49 0.03
0.21 11.84 0.28 0.00 2.60 0.03
0.22 11.81 0.31 0.00 2.69 0.03
0.23 11.78 0.34 0.00 2.79 0.04
0.24 11.75 0.37 0.00 2.88 0.04
0.25 11.71 0.40 0.00 2.96 0.05
0.26 11.68 0.43 0.00 3.04 0.06
0.27 11.66 0.46 0.00 3.12 0.06
0.28 11.64 0.49 0.00 3.19 0.07
0.29 11.64 0.52 0.01 3.25 0.08
0.30 11.65 0.55 0.01 3.31 0.08
0.31 11.68 0.59 0.01 3.37 0.09
0.32 11.72 0.62 0.01 3.43 0.10
0.33 11.77 0.65 0.01 3.48 0.11
0.34 11.83 0.69 0.01 3.52 0.12
0.35 11.90 0.73 0.01 3.57 0.13
0.36 11.97 0.76 0.01 3.61 0.14
0.37 12.04 0.80 0.01 3.64 0.15
0.38 12.11 0.83 0.02 3.68 0.16
0.39 12.17 0.87 0.02 3.71 0.17
0.40 12.22 0.91 0.02 3.74 0.18
0.41 12.27 0.95 0.02 3.76 0.20
0.42 12.30 0.98 0.02 3.78 0.21
0.43 12.33 1.02 0.03 3.79 0.22
0.44 12.35 1.06 0.03 3.80 0.24
0.45 12.36 1.10 0.03 3.81 0.25
0.46 12.36 1.14 0.03 3.81 0.27
0.47 12.35 1.17 0.04 3.81 0.28
0.48 12.32 1.21 0.04 3.80 0.30
0.49 12.30 1.25 0.04 3.78 0.32
0.50 12.26 1.29 0.04 3.76 0.33
0.51 12.21 1.32 0.05 3.74 0.35
0.52 12.15 1.36 0.05 3.71 0.37
0.53 12.09 1.40 0.06 3.67 0.38
0.54 12.01 1.43 0.06 3.62 0.40
0.55 11.94 1.47 0.06 3.57 0.42
0.56 11.86 1.51 0.07 3.52 0.44
0.57 11.78 1.54 0.07 3.45 0.46
0.58 11.71 1.58 0.08 3.39 0.48
0.59 11.65 1.61 0.08 3.31 0.50
0.60 11.60 1.64 0.09 3.23 0.52
0.61 11.57 1.67 0.09 3.15 0.54
0.62 11.55 1.70 0.10 3.06 0.56
0.63 11.55 1.73 0.10 2.97 0.58
