TI=0.10 | U_mean=24.00 | Ct_used=0.07 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_24_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 25.57 0.00 0.00 0.00 0.00
0.01 25.60 0.00 0.00 0.05 0.00
0.02 25.64 0.00 0.00 0.11 0.00
0.03 25.69 0.00 0.00 0.16 0.00
0.04 25.73 0.00 0.00 0.21 0.00
0.05 25.77 0.01 0.00 0.27 0.00
0.06 25.81 0.01 0.00 0.32 0.00
0.07 25.85 0.01 0.00 0.37 0.00
0.08 25.90 0.02 0.00 0.42 0.00
0.09 25.96 0.02 0.00 0.48 0.00
0.10 26.02 0.03 0.00 0.53 0.00
0.11 26.09 0.03 0.00 0.58 0.00
0.12 26.17 0.04 0.00 0.63 0.00
0.13 26.25 0.04 0.00 0.68 0.00
0.14 26.34 0.05 0.00 0.73 0.00
0.15 26.42 0.06 0.00 0.78 0.00
0.16 26.49 0.07 0.00 0.83 0.01
0.17 26.55 0.08 0.00 0.87 0.01
0.18 26.58 0.08 0.00 0.92 0.01
0.19 26.58 0.09 0.00 0.96 0.01
0.20 26.56 0.10 0.00 1.01 0.01
0.21 26.51 0.11 0.00 1.05 0.01
0.22 26.44 0.12 0.00 1.09 0.01
0.23 26.35 0.14 0.00 1.13 0.02
0.24 26.25 0.15 0.00 1.16 0.02
0.25 26.15 0.16 0.00 1.20 0.02
0.26 26.06 0.17 0.00 1.23 0.02
0.27 25.99 0.18 0.00 1.26 0.02
0.28 25.95 0.20 0.00 1.29 0.03
0.29 25.95 0.21 0.00 1.32 0.03
0.30 25.98 0.22 0.00 1.34 0.03
0.31 26.06 0.24 0.00 1.36 0.04
0.32 26.17 0.25 0.00 1.39 0.04
0.33 26.32 0.26 0.00 1.41 0.04
0.34 26.50 0.28 0.00 1.42 0.05
0.35 26.69 0.29 0.00 1.44 0.05
0.36 26.89 0.31 0.01 1.46 0.06
0.37 27.08 0.32 0.01 1.48 0.06
0.38 27.27 0.34 0.01 1.49 0.06
0.39 27.44 0.35 0.01 1.50 0.07
0.40 27.60 0.37 0.01 1.52 0.07
0.41 27.72 0.38 0.01 1.53 0.08
0.42 27.83 0.40 0.01 1.54 0.08
0.43 27.90 0.41 0.01 1.54 0.09
0.44 27.95 0.43 0.01 1.55 0.10
0.45 27.97 0.44 0.01 1.55 0.10
0.46 27.97 0.46 0.01 1.56 0.11
0.47 27.94 0.47 0.01 1.56 0.11
0.48 27.89 0.49 0.02 1.55 0.12
0.49 27.81 0.51 0.02 1.55 0.13
0.50 27.70 0.52 0.02 1.54 0.13
0.51 27.57 0.54 0.02 1.53 0.14
0.52 27.40 0.55 0.02 1.52 0.15
0.53 27.22 0.57 0.02 1.51 0.16
0.54 27.01 0.58 0.02 1.49 0.16
0.55 26.79 0.60 0.03 1.47 0.17
0.56 26.57 0.61 0.03 1.45 0.18
0.57 26.36 0.63 0.03 1.42 0.19
0.58 26.15 0.64 0.03 1.39 0.19
0.59 25.98 0.65 0.03 1.36 0.20
0.60 25.84 0.67 0.04 1.33 0.21
0.61 25.75 0.68 0.04 1.29 0.22
0.62 25.71 0.69 0.04 1.26 0.23
