TI=0.10 | U_mean=25.00 | Ct_used=0.06 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_25_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 26.65 0.00 0.00 0.00 0.00
0.01 26.69 0.00 0.00 0.05 0.00
0.02 26.74 0.00 0.00 0.10 0.00
0.03 26.78 0.00 0.00 0.16 0.00
0.04 26.82 0.00 0.00 0.21 0.00
0.05 26.87 0.01 0.00 0.26 0.00
0.06 26.91 0.01 0.00 0.31 0.00
0.07 26.96 0.01 0.00 0.36 0.00
0.08 27.01 0.02 0.00 0.41 0.00
0.09 27.07 0.02 0.00 0.46 0.00
0.10 27.13 0.03 0.00 0.51 0.00
0.11 27.21 0.03 0.00 0.56 0.00
0.12 27.29 0.04 0.00 0.61 0.00
0.13 27.38 0.04 0.00 0.66 0.00
0.14 27.47 0.05 0.00 0.71 0.00
0.15 27.56 0.06 0.00 0.76 0.00
0.16 27.63 0.07 0.00 0.80 0.01
0.17 27.69 0.07 0.00 0.85 0.01
0.18 27.72 0.08 0.00 0.89 0.01
0.19 27.73 0.09 0.00 0.94 0.01
0.20 27.71 0.10 0.00 0.98 0.01
0.21 27.65 0.11 0.00 1.02 0.01
0.22 27.58 0.12 0.00 1.06 0.01
0.23 27.48 0.13 0.00 1.10 0.02
0.24 27.38 0.14 0.00 1.13 0.02
0.25 27.27 0.15 0.00 1.16 0.02
0.26 27.18 0.17 0.00 1.20 0.02
0.27 27.10 0.18 0.00 1.23 0.02
0.28 27.06 0.19 0.00 1.25 0.03
0.29 27.06 0.20 0.00 1.28 0.03
0.30 27.09 0.22 0.00 1.30 0.03
0.31 27.18 0.23 0.00 1.33 0.04
0.32 27.30 0.24 0.00 1.35 0.04
0.33 27.45 0.26 0.00 1.37 0.04
0.34 27.63 0.27 0.00 1.38 0.05
0.35 27.84 0.28 0.00 1.40 0.05
0.36 28.05 0.30 0.01 1.42 0.05
0.37 28.25 0.31 0.01 1.43 0.06
0.38 28.45 0.33 0.01 1.45 0.06
0.39 28.64 0.34 0.01 1.46 0.07
0.40 28.80 0.36 0.01 1.47 0.07
0.41 28.93 0.37 0.01 1.48 0.08
0.42 29.04 0.39 0.01 1.49 0.08
0.43 29.12 0.40 0.01 1.50 0.09
0.44 29.17 0.42 0.01 1.51 0.09
0.45 29.19 0.43 0.01 1.51 0.10
0.46 29.19 0.45 0.01 1.51 0.11
0.47 29.16 0.46 0.01 1.51 0.11
0.48 29.11 0.48 0.02 1.51 0.12
0.49 29.02 0.49 0.02 1.51 0.12
0.50 28.91 0.51 0.02 1.50 0.13
0.51 28.76 0.52 0.02 1.49 0.14
0.52 28.59 0.54 0.02 1.48 0.14
0.53 28.40 0.55 0.02 1.47 0.15
0.54 28.18 0.57 0.02 1.45 0.16
0.55 27.95 0.58 0.03 1.43 0.17
0.56 27.72 0.59 0.03 1.41 0.17
0.57 27.49 0.61 0.03 1.38 0.18
0.58 27.27 0.62 0.03 1.36 0.19
0.59 27.09 0.64 0.03 1.33 0.20
0.60 26.95 0.65 0.03 1.29 0.20
0.61 26.85 0.66 0.04 1.26 0.21
0.62 26.80 0.67 0.04 1.23 0.22
0.63 26.81 0.69 0.04 1.19 0.23
0.64 26.86 0.70 0.04 1.15 0.24
0.65 26.96 0.71 0.05 1.11 0.25
0.66 27.09 0.72 0.05 1.07 0.25
0.67 27.24 0.73 0.05 1.03 0.26
0.68 27.40 0.74 0.05 0.99 0.27
0.69 27.55 0.75 0.06 0.95 0.28
0.70 27.69 0.76 0.06 0.91 0.29
0.71 27.79 0.77 0.06 0.86 0.30
0.72 27.86 0.78 0.06 0.82 0.30
0.73 27.89 0.78 0.07 0.78 0.31
0.74 27.89 0.79 0.07 0.74 0.32
0.75 27.86 0.80 0.07 0.69 0.33
0.76 27.80 0.81 0.08 0.65 0.34
0.77 27.73 0.81 0.08 0.60 0.35
0.78 27.67 0.82 0.08 0.55 0.35
0.79 27.61 0.82 0.09 0.51 0.36
0.80 27.56 0.83 0.09 0.46 0.37
0.81 27.53 0.83 0.10 0.41 0.38
0.82 27.52 0.84 0.10 0.37 0.39
0.83 27.53 0.84 0.10 0.32 0.40
0.84 27.55 0.84 0.11 0.27 0.40
0.85 27.57 0.85 0.11 0.22 0.41
0.86 27.59 0.85 0.12 0.18 0.42
0.87 27.59 0.85 0.12 0.13 0.43
0.88 27.57 0.85 0.12 0.09 0.43
0.89 27.53 0.85 0.13 0.04 0.44
0.90 27.46 0.85 0.13 -0.00 0.45
0.91 27.37 0.85 0.14 -0.05 0.45
0.92 27.25 0.85 0.14 -0.09 0.46
0.93 27.13 0.85 0.15 -0.14 0.47
0.94 27.00 0.85 0.15 -0.18 0.47
0.95 26.88 0.85 0.16 -0.22 0.48
0.96 26.77 0.84 0.16 -0.27 0.48
0.97 26.69 0.84 0.17 -0.31 0.49
0.98 26.64 0.84 0.17 -0.35 0.49
0.99 26.62 0.83 0.18 -0.39 0.50
1.00 26.62 0.83 0.18 -0.43 0.50
1.01 26.66 0.82 0.19 -0.47 0.51
1.02 26.71 0.82 0.19 -0.50 0.51
1.03 26.77 0.81 0.20 -0.54 0.51
1.04 26.82 0.81 0.20 -0.57 0.52
1.05 26.88 0.80 0.21 -0.60 0.52
1.06 26.92 0.80 0.21 -0.63 0.52
1.07 26.95 0.79 0.22 -0.66 0.52
1.08 26.96 0.78 0.22 -0.68 0.53
1.09 26.96 0.78 0.23 -0.71 0.53
1.10 26.96 0.77 0.23 -0.73 0.53
1.11 26.97 0.76 0.24 -0.75 0.53
1.12 26.98 0.75 0.24 -0.77 0.53
1.13 27.01 0.75 0.25 -0.79 0.53
1.14 27.07 0.74 0.25 -0.80 0.53
1.15 27.16 0.73 0.26 -0.81 0.53
1.16 27.27 0.72 0.26 -0.82 0.53
1.17 27.41 0.71 0.27 -0.83 0.53
1.18 27.56 0.71 0.27 -0.83 0.53
1.19 27.72 0.70 0.28 -0.84 0.53
1.20 27.87 0.69 0.29 -0.84 0.53
1.21 28.00 0.68 0.29 -0.84 0.52
1.22 28.11 0.67 0.30 -0.83 0.52
1.23 28.17 0.66 0.30 -0.83 0.52
1.24 28.18 0.66 0.31 -0.82 0.51
1.25 28.14 0.65 0.31 -0.81 0.51
1.26 28.06 0.64 0.32 -0.80 0.51
1.27 27.93 0.63 0.32 -0.78 0.50
1.28 27.77 0.62 0.33 -0.77 0.50
1.29 27.59 0.62 0.33 -0.75 0.49
1.30 27.41 0.61 0.34 -0.73 0.49
1.31 27.23 0.60 0.34 -0.72 0.48
1.32 27.06 0.59 0.35 -0.70 0.48
1.33 26.92 0.59 0.35 -0.68 0.47
1.34 26.80 0.58 0.36 -0.66 0.46
1.35 26.72 0.57 0.36 -0.64 0.46
1.36 26.66 0.57 0.36 -0.61 0.45
1.37 26.63 0.56 0.37 -0.59 0.44
1.38 26.60 0.56 0.37 -0.56 0.43
1.39 26.59 0.55 0.38 -0.54 0.43
1.40 26.56 0.55 0.38 -0.51 0.42
1.41 26.52 0.54 0.39 -0.48 0.41
1.42 26.47 0.54 0.39 -0.45 0.40
1.43 26.39 0.53 0.39 -0.42 0.39
1.44 26.29 0.53 0.40 -0.39 0.38
1.45 26.16 0.52 0.40 -0.35 0.37
1.46 26.03 0.52 0.41 -0.32 0.36
1.47 25.89 0.52 0.41 -0.29 0.35
1.48 25.74 0.52 0.41 -0.25 0.34
1.49 25.61 0.51 0.42 -0.22 0.33
1.50 25.49 0.51 0.42 -0.18 0.32
1.51 25.39 0.51 0.42 -0.15 0.31
1.52 25.31 0.51 0.43 -0.11 0.30
1.53 25.25 0.51 0.43 -0.08 0.29
1.54 25.21 0.51 0.43 -0.04 0.28
1.55 25.19 0.51 0.43 -0.01 0.27
1.56 25.17 0.51 0.44 0.03 0.26
1.57 25.16 0.51 0.44 0.07 0.25
1.58 25.15 0.51 0.44 0.10 0.24
1.59 25.13 0.51 0.44 0.14 0.22
1.60 25.10 0.51 0.45 0.18 0.21
1.61 25.06 0.51 0.45 0.21 0.20
1.62 25.01 0.51 0.45 0.25 0.19
1.63 24.96 0.52 0.45 0.29 0.18
1.64 24.90 0.52 0.45 0.32 0.17
1.65 24.85 0.52 0.45 0.36 0.16
1.66 24.81 0.53 0.46 0.39 0.14
1.67 24.78 0.53 0.46 0.43 0.13
1.68 24.77 0.54 0.46 0.46 0.12
1.69 24.78 0.54 0.46 0.50 0.11
1.70 24.80 0.55 0.46 0.53 0.10
1.71 24.84 0.55 0.46 0.56 0.09
1.72 24.89 0.56 0.46 0.59 0.07
1.73 24.94 0.56 0.46 0.63 0.06
1.74 25.00 0.57 0.46 0.66 0.05
1.75 25.06 0.58 0.46 0.69 0.04
1.76 25.12 0.58 0.47 0.72 0.03
1.77 25.17 0.59 0.47 0.74 0.02
1.78 25.21 0.60 0.47 0.77 0.01
1.79 25.25 0.61 0.47 0.80 -0.00
1.80 25.28 0.61 0.47 0.83 -0.02
1.81 25.31 0.62 0.47 0.85 -0.03
1.82 25.33 0.63 0.46 0.87 -0.04
1.83 25.35 0.64 0.46 0.90 -0.05
1.84 25.37 0.65 0.46 0.92 -0.06
1.85 25.39 0.66 0.46 0.94 -0.07
1.86 25.41 0.67 0.46 0.96 -0.08
