TI=0.10 | U_mean=13.00 | Ct_used=0.42 | D=178.00 | rho=1.22 | Ct_path=inputs/turbie_inputs/CT.txt | param_path=inputs/turbie_inputs/turbie_parameters.txt | wind_file=wind_13_ms_TI_0.1.txt | ct_mode=mean
Sampling_rate_Hz=100.00
t[s]	U[m/s]	x_blade[m]	x_tower[m]	v_blade[m/s]	v_tower[m/s]
0.00 13.65 0.00 0.00 0.00 0.00
0.01 13.67 0.00 0.00 0.10 0.00
0.02 13.69 0.00 0.00 0.19 0.00
0.03 13.71 0.00 0.00 0.29 0.00
0.04 13.73 0.01 0.00 0.39 0.00
0.05 13.74 0.01 0.00 0.48 0.00
0.06 13.76 0.02 0.00 0.58 0.00
0.07 13.78 0.02 0.00 0.67 0.00
0.08 13.80 0.03 0.00 0.77 0.00
0.09 13.83 0.04 0.00 0.86 0.00
0.10 13.86 0.05 0.00 0.95 0.00
0.11 13.89 0.06 0.00 1.05 0.00
0.12 13.92 0.07 0.00 1.14 0.00
0.13 13.96 0.08 0.00 1.23 0.01
0.14 14.00 0.09 0.00 1.31 0.01
0.15 14.03 0.11 0.00 1.40 0.01
0.16 14.06 0.12 0.00 1.49 0.01
0.17 14.09 0.14 0.00 1.57 0.01
0.18 14.10 0.15 0.00 1.65 0.01
0.19 14.10 0.17 0.00 1.73 0.02
0.20 14.10 0.19 0.00 1.81 0.02
0.21 14.07 0.21 0.00 1.89 0.02
0.22 14.04 0.23 0.00 1.96 0.02
0.23 14.00 0.25 0.00 2.03 0.03
0.24 13.96 0.27 0.00 2.09 0.03
0.25 13.91 0.29 0.00 2.15 0.04
0.26 13.87 0.31 0.00 2.21 0.04
0.27 13.84 0.33 0.00 2.26 0.04
0.28 13.82 0.35 0.00 2.32 0.05
0.29 13.82 0.38 0.00 2.36 0.05
0.30 13.84 0.40 0.00 2.41 0.06
0.31 13.87 0.43 0.01 2.45 0.07
0.32 13.92 0.45 0.01 2.49 0.07
0.33 13.99 0.48 0.01 2.52 0.08
0.34 14.06 0.50 0.01 2.56 0.09
0.35 14.15 0.53 0.01 2.59 0.09
0.36 14.24 0.55 0.01 2.62 0.10
0.37 14.32 0.58 0.01 2.65 0.11
0.38 14.41 0.61 0.01 2.67 0.12
0.39 14.48 0.63 0.01 2.70 0.13
0.40 14.55 0.66 0.01 2.72 0.13
0.41 14.61 0.69 0.02 2.73 0.14
0.42 14.65 0.71 0.02 2.75 0.15
0.43 14.69 0.74 0.02 2.76 0.16
0.44 14.71 0.77 0.02 2.77 0.17
0.45 14.72 0.80 0.02 2.77 0.18
0.46 14.72 0.82 0.02 2.77 0.19
0.47 14.70 0.85 0.03 2.77 0.21
0.48 14.68 0.88 0.03 2.77 0.22
0.49 14.64 0.91 0.03 2.76 0.23
0.50 14.60 0.94 0.03 2.74 0.24
0.51 14.54 0.96 0.04 2.72 0.25
0.52 14.46 0.99 0.04 2.70 0.27
0.53 14.38 1.02 0.04 2.67 0.28
0.54 14.29 1.04 0.04 2.64 0.29
0.55 14.20 1.07 0.05 2.60 0.31
0.56 14.10 1.10 0.05 2.56 0.32
0.57 14.00 1.12 0.05 2.52 0.33
0.58 13.91 1.15 0.06 2.47 0.35
0.59 13.83 1.17 0.06 2.41 0.36
0.60 13.77 1.19 0.06 2.36 0.38
0.61 13.73 1.22 0.07 2.30 0.39
0.62 13.71 1.24 0.07 2.23 0.41
0.63 13.71 1.26 0.08 2.16 0.42
0.64 13.74 1.28 0.08 2.09 0.44
0.65 13.78 1.30 0.08 2.02 0.45
0.66 13.83 1.32 0.09 1.95 0.47
0.67 13.90 1.34 0.09 1.88 0.48
0.68 13.96 1.36 0.10 1.80 0.50
0.69 14.03 1.38 0.10 1.73 0.51
0.70 14.08 1.40 0.11 1.65 0.53
0.71 14.12 1.41 0.11 1.57 0.55
0.72 14.15 1.43 0.12 1.49 0.56
0.73 14.17 1.44 0.13 1.42 0.58
0.74 14.16 1.46 0.13 1.33 0.59
0.75 14.15 1.47 0.14 1.25 0.61
0.76 14.13 1.48 0.14 1.17 0.62
0.77 14.10 1.49 0.15 1.09 0.64
0.78 14.07 1.50 0.16 1.00 0.65
0.79 14.04 1.51 0.16 0.92 0.67
0.80 14.03 1.52 0.17 0.83 0.68
0.81 14.01 1.53 0.18 0.74 0.70
0.82 14.01 1.54 0.18 0.66 0.71
0.83 14.01 1.54 0.19 0.57 0.73
0.84 14.02 1.55 0.20 0.49 0.74
0.85 14.03 1.55 0.21 0.40 0.76
0.86 14.04 1.55 0.21 0.31 0.77
0.87 14.04 1.56 0.22 0.23 0.78
0.88 14.03 1.56 0.23 0.15 0.80
0.89 14.01 1.56 0.24 0.06 0.81
0.90 13.98 1.56 0.24 -0.02 0.82
0.91 13.94 1.56 0.25 -0.10 0.83
0.92 13.89 1.56 0.26 -0.18 0.84
0.93 13.84 1.56 0.27 -0.26 0.85
0.94 13.79 1.55 0.28 -0.34 0.87
0.95 13.74 1.55 0.29 -0.42 0.88
0.96 13.69 1.54 0.30 -0.49 0.89
0.97 13.66 1.54 0.30 -0.57 0.90
